Title,Author,MyRating,AverageRating,NumberOfPages,DateRead,Year,id,Genre,Link
"One Piece, Volume 4", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,120, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388466608i/364952.jpg
"One Piece, Volume 5", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,121, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388289134i/364951.jpg
"One Piece, Volume 6", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,122, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572271006i/364950.jpg
"One Piece, Volume 7", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,123, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 8", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,124, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 9", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,125, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 10", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,126, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 11", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,127, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 12", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,128, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 13", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,129, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 14", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,130, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 15", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,131, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 16", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,132, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 17", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,133, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 18", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,134, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 19", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,135, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 20", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,136, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 21",Eiichiro Oda,5,4.48,207.0,2020/04/01,2020,137, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 22",Eiichiro Oda,5,4.48,207.0,2020/04/01,2020,138, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 23", Eiichiro Oda,5,4.48,207.0,2020/04/01,2020,139, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 24", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,140, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 25", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,141, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 26", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,142, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 27", Eiichiro Oda,5,4.48,207.0, 2020/04/01,2020,143, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 28", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,144, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 29", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,145, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 30", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,146, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 31",Eiichiro Oda,5,4.48,207.0,2020/05/01,2020,147, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 32",Eiichiro Oda,5,4.48,207.0,2020/05/01,2020,148, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 33", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,149, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 34", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,150, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 35", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,151, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 36", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,152, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 37", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,153, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
